"","Date","Microsoft","Glasses","Phone","Office 10","Band","Hologram","Surface","Office","Silverlight","Outlook"
"377","2011-01-16",85,45,69,97,30,40,23,92,78,60
"378","2011-01-17",93,36,62,89,54,0,26,90,71,86
"379","2011-01-18",98,0,74,93,34,32,23,100,71,89
"380","2011-01-19",98,74,92,95,44,33,21,95,68,89
"381","2011-01-20",98,37,80,94,15,33,31,95,66,87
"382","2011-01-21",92,39,73,87,36,0,23,86,56,87
"383","2011-01-22",84,0,61,90,24,0,16,86,82,61
"384","2011-01-23",85,0,70,98,48,0,21,91,79,54
"385","2011-01-24",94,0,66,92,33,32,20,92,63,88
"386","2011-01-25",96,36,55,96,38,0,19,93,75,84
"387","2011-01-26",98,0,57,91,53,0,19,91,67,84
"388","2011-01-27",100,37,67,94,20,33,37,90,70,87
"389","2011-01-28",93,58,61,82,72,35,23,84,75,85
"390","2011-01-29",88,44,62,99,47,0,13,87,76,59
"391","2011-01-30",89,87,66,91,34,0,19,91,88,53
"392","2011-01-31",96,68,61,92,23,0,18,92,69,86
"393","2011-02-01",100,70,68,92,74,0,15,92,71,87
"394","2011-02-02",98,0,57,92,37,0,17,91,70,83
"395","2011-02-03",95,53,68,87,28,0,20,88,69,85
"396","2011-02-04",91,37,52,85,22,33,16,82,65,82
"397","2011-02-05",85,0,65,89,47,0,17,84,77,56
"398","2011-02-06",84,0,45,94,29,0,16,87,75,54
"399","2011-02-07",92,35,76,93,33,31,14,86,61,84
"400","2011-02-08",98,36,62,90,38,0,19,91,60,91
"401","2011-02-09",96,36,63,92,53,0,18,91,61,83
"402","2011-02-10",98,37,72,91,49,33,30,89,68,88
"403","2011-02-11",95,38,100,79,53,34,15,80,62,76
"404","2011-02-12",84,0,78,86,80,0,14,81,66,52
"405","2011-02-13",85,44,82,89,44,0,11,87,84,59
"406","2011-02-14",91,36,70,83,24,0,16,83,69,76
"407","2011-02-15",93,58,80,90,48,31,18,87,100,89
"408","2011-02-16",96,35,70,87,33,0,20,90,75,83
"409","2011-02-17",94,37,70,85,48,32,16,88,78,82
"410","2011-02-18",88,38,77,83,35,34,22,81,74,77
"411","2011-02-19",80,0,50,90,30,0,10,78,80,54
"412","2011-02-20",79,0,60,92,23,0,13,86,86,51
"413","2011-02-21",89,35,61,89,28,0,17,87,77,72
"414","2011-02-22",95,35,64,96,33,0,22,89,68,83
"415","2011-02-23",96,36,70,92,38,0,23,89,79,81
"416","2011-02-24",94,36,72,93,29,32,29,87,72,82
"417","2011-02-25",91,0,66,88,50,0,17,83,66,83
"418","2011-02-26",81,44,73,94,61,0,15,81,74,53
"419","2011-02-27",83,65,66,93,34,0,16,87,79,51
"420","2011-02-28",91,0,51,90,37,0,23,87,69,78
"421","2011-03-01",95,0,64,91,33,0,23,92,69,83
"422","2011-03-02",96,36,79,95,100,32,12,95,87,88
"423","2011-03-03",94,36,68,88,58,0,21,90,67,87
"424","2011-03-04",89,38,55,91,30,0,18,82,64,84
"425","2011-03-05",81,45,63,86,48,0,11,82,67,55
"426","2011-03-06",82,45,64,95,27,40,16,88,83,56
"427","2011-03-07",90,0,45,87,72,0,15,89,72,82
"428","2011-03-08",93,37,48,92,39,0,20,85,76,82
"429","2011-03-09",94,36,60,93,57,0,20,91,71,83
"430","2011-03-10",95,35,61,93,28,0,11,89,69,82
"431","2011-03-11",84,0,68,78,24,0,15,78,63,69
"432","2011-03-12",73,45,55,85,42,0,15,78,68,49
"433","2011-03-13",76,44,36,91,35,0,9,82,76,48
"434","2011-03-14",87,0,60,86,34,0,19,82,71,82
"435","2011-03-15",95,36,50,81,43,0,17,87,61,85
"436","2011-03-16",93,35,65,87,51,31,14,87,66,80
"437","2011-03-17",92,0,46,88,38,0,17,84,82,79
"438","2011-03-18",87,0,64,81,25,0,17,77,77,75
"439","2011-03-19",77,0,46,80,35,0,16,78,81,48
"440","2011-03-20",80,0,55,97,29,0,10,82,94,48
"441","2011-03-21",89,71,52,94,56,0,15,85,68,80
"442","2011-03-22",93,0,55,88,28,0,12,87,63,81
"443","2011-03-23",92,0,51,89,38,0,13,89,73,79
"444","2011-03-24",91,36,50,86,24,0,16,87,68,81
"445","2011-03-25",85,38,49,78,30,33,15,79,77,74
"446","2011-03-26",78,67,46,91,18,0,10,77,82,53
"447","2011-03-27",81,43,67,93,17,0,12,83,78,52
"448","2011-03-28",90,35,66,89,42,0,16,86,75,78
"449","2011-03-29",93,0,64,89,21,0,14,90,62,82
"450","2011-03-30",93,0,66,93,28,0,15,87,60,87
"451","2011-03-31",91,0,48,88,38,0,22,84,63,82
"452","2012-01-01",65,96,55,70,25,0,45,68,59,41
"453","2012-01-02",79,37,69,82,67,0,27,82,82,66
"454","2012-01-03",86,0,53,84,89,44,51,86,78,89
"455","2012-01-04",93,35,57,90,18,0,48,96,76,93
"456","2012-01-05",91,0,71,86,80,44,42,91,74,88
"457","2012-01-06",87,54,50,85,37,0,43,85,76,85
"458","2012-01-07",77,82,50,86,21,0,46,81,75,55
"459","2012-01-08",79,0,57,98,20,100,51,93,85,49
