date,Amazon uk
2016-01-26,63
2016-01-27,63
2016-01-28,58
2016-01-29,58
2016-01-30,66
2016-01-31,73
2016-02-01,61
2016-02-02,59
2016-02-03,57
2016-02-04,57
2016-02-05,57
2016-02-06,68
2016-02-07,70
2016-02-08,62
2016-02-09,59
2016-02-10,56
2016-02-11,54
2016-02-12,54
2016-02-13,61
2016-02-14,61
2016-02-15,56
2016-02-16,55
2016-02-17,57
2016-02-18,54
2016-02-19,55
2016-02-20,60
2016-02-21,64
2016-02-22,56
2016-02-23,55
2016-02-24,54
2016-02-25,53
2016-02-26,55
2016-02-27,62
2016-02-28,67
2016-02-29,58
2016-03-01,57
2016-03-02,56
2016-03-03,53
2016-03-04,54
2016-03-05,59
2016-03-06,62
2016-03-07,56
2016-03-08,55
2016-03-09,53
2016-03-10,52
2016-03-11,50
2016-03-12,58
2016-03-13,62
2016-03-14,54
2016-03-15,53
2016-03-16,52
2016-03-17,50
2016-03-18,52
2016-03-19,59
2016-03-20,62
2016-03-21,57
2016-03-22,51
2016-03-23,52
2016-03-24,56
2016-03-25,54
2016-03-26,61
2016-03-27,59
2016-03-28,59
2016-03-29,57
2016-03-30,54
2016-03-31,54
2017-01-01,100
2017-01-02,100
2017-01-03,94
2017-01-04,89
2017-01-05,87
2017-01-06,85
2017-01-07,96
2017-01-08,99
2017-01-09,85
2017-01-10,85
2017-01-11,81
2017-01-12,82
2017-01-13,82
2017-01-14,90
2017-01-15,96
2017-01-16,84
2017-01-17,79
2017-01-18,78
2017-01-19,75
2017-01-20,80
2017-01-21,87
2017-01-22,97
2017-01-23,80
2017-01-24,78
2017-01-25,81
2017-01-26,82
2017-01-27,78
2017-01-28,89
2017-01-29,98
2017-01-30,80
2017-01-31,81
2017-02-01,80
2017-02-02,82
2017-02-03,77
2017-02-04,86
2017-02-05,92
2017-02-06,79
2017-02-07,81
2017-02-08,80
2017-02-09,74
2017-02-10,74
2017-02-11,85
2017-02-12,93
2017-02-13,78
2017-02-14,70
2017-02-15,76
2017-02-16,74
2017-02-17,71
