date,Amazon video
2014-02-10,32
2014-02-11,29
2014-02-12,29
2014-02-13,32
2014-02-14,34
2014-02-15,42
2014-02-16,46
2014-02-17,33
2014-02-18,31
2014-02-19,27
2014-02-20,32
2014-02-21,51
2014-02-22,52
2014-02-23,56
2014-02-24,39
2014-02-25,51
2014-02-26,100
2014-02-27,65
2014-02-28,59
2014-03-01,79
2014-03-02,79
2014-03-03,53
2014-03-04,46
2014-03-05,40
2014-03-06,42
2014-03-07,42
2014-03-08,62
2014-03-09,58
2014-03-10,40
2014-03-11,39
2014-03-12,37
2014-03-13,42
2014-03-14,51
2014-03-15,62
2014-03-16,69
2014-03-17,46
2014-03-18,42
2014-03-19,40
2014-03-20,38
2014-03-21,46
2014-03-22,64
2014-03-23,67
2014-03-24,42
2014-03-25,45
2014-03-26,37
2014-03-27,34
2014-03-28,50
2014-03-29,61
2014-03-30,67
2014-03-31,43
2015-01-01,96
2015-01-02,92
2015-01-03,100
2015-01-04,95
2015-01-05,71
2015-01-06,63
2015-01-07,54
2015-01-08,60
2015-01-09,62
2015-01-10,82
2015-01-11,79
2015-01-12,59
2015-01-13,48
2015-01-14,52
2015-01-15,48
2015-01-16,57
2015-01-17,75
2015-01-18,79
2015-01-19,52
2015-01-20,50
2015-01-21,49
2015-01-22,50
2015-01-23,51
2015-01-24,81
2015-01-25,84
2015-01-26,54
2015-01-27,50
2015-01-28,48
2015-01-29,43
2015-01-30,53
2015-01-31,73
2015-02-01,67
2015-02-02,46
2015-02-03,48
2015-02-04,45
2015-02-05,46
2015-02-06,50
2015-02-07,72
2015-02-08,73
2015-02-09,48
2015-02-10,45
2015-02-11,45
2015-02-12,44
2015-02-13,52
2015-02-14,71
2015-02-15,96
2015-02-16,62
2015-02-17,51
2015-02-18,47
2015-02-19,44
2015-02-20,50
2015-02-21,72
2015-02-22,71
2015-02-23,47
2015-02-24,50
2015-02-25,49
2015-02-26,42
2015-02-27,46
2015-02-28,65
2015-03-01,69
2015-03-02,48
2015-03-03,39
2015-03-04,37
2015-03-05,43
2015-03-06,43
2015-03-07,64
2015-03-08,62
2015-03-09,40
2015-03-10,40
2015-03-11,40
2015-03-12,39
2015-03-13,45
2015-03-14,61
2015-03-15,60
2015-03-16,41
2015-03-17,41
2015-03-18,38
2015-03-19,42
2015-03-20,43
2015-03-21,63
2015-03-22,65
2015-03-23,44
2015-03-24,45
2015-03-25,44
2015-03-26,41
2015-03-27,50
2015-03-28,64
2015-03-29,64
2015-03-30,44
2015-03-31,45
2016-01-01,100
2016-01-02,98
2016-01-03,90
2016-01-04,60
2016-01-05,56
2016-01-06,57
2016-01-07,55
2016-01-08,60
2016-01-09,77
2016-01-10,80
2016-01-11,56
2016-01-12,49
2016-01-13,51
2016-01-14,50
2016-01-15,55
2016-01-16,81
2016-01-17,77
2016-01-18,57
2016-01-19,47
2016-01-20,48
2016-01-21,50
2016-01-22,56
2016-01-23,80
2016-01-24,79
2016-01-25,50
2016-01-26,50
2016-01-27,47
2016-01-28,47
2016-01-29,49
2016-01-30,70
2016-01-31,78
2016-02-01,49
2016-02-02,45
2016-02-03,43
2016-02-04,43
2016-02-05,49
2016-02-06,69
2016-02-07,73
2016-02-08,51
2016-02-09,46
2016-02-10,45
2016-02-11,46
2016-02-12,45
2016-02-13,65
2016-02-14,66
2016-02-15,57
2016-02-16,47
2016-02-17,42
2016-02-18,44
2016-02-19,46
2016-02-20,63
2016-02-21,73
2016-02-22,47
2016-02-23,45
2016-02-24,45
2016-02-25,40
2016-02-26,45
2016-02-27,64
2016-02-28,62
2016-02-29,44
2016-03-01,43
2016-03-02,39
2016-03-03,39
2016-03-04,43
2016-03-05,59
2016-03-06,66
2016-03-07,42
2016-03-08,43
2016-03-09,42
2016-03-10,43
2016-03-11,48
2016-03-12,63
2016-03-13,63
2016-03-14,45
2016-03-15,41
2016-03-16,44
2016-03-17,40
2016-03-18,47
2016-03-19,62
2016-03-20,61
2016-03-21,46
2016-03-22,44
2016-03-23,45
2016-03-24,44
2016-03-25,58
2016-03-26,58
2016-03-27,62
2016-03-28,51
2016-03-29,46
2016-03-30,45
2016-03-31,44
2017-01-01,98
2017-01-02,90
2017-01-03,72
2017-01-04,68
2017-01-05,66
2017-01-06,79
2017-01-07,95
2017-01-08,100
2017-01-09,70
2017-01-10,61
2017-01-11,60
2017-01-12,71
2017-01-13,79
2017-01-14,93
2017-01-15,95
2017-01-16,74
2017-01-17,64
2017-01-18,59
2017-01-19,61
2017-01-20,67
2017-01-21,86
2017-01-22,96
2017-01-23,64
2017-01-24,60
2017-01-25,58
2017-01-26,62
2017-01-27,68
2017-01-28,90
2017-01-29,90
2017-01-30,60
2017-01-31,60
2017-02-01,57
2017-02-02,57
2017-02-03,64
2017-02-04,80
2017-02-05,81
2017-02-06,56
2017-02-07,52
2017-02-08,55
2017-02-09,54
2017-02-10,58
2017-02-11,74
2017-02-12,78
2017-02-13,52
2017-02-14,54
2017-02-15,55
2017-02-16,53
2017-02-17,62
2017-02-18,77
2017-02-19,83
2017-02-20,66
2017-02-21,57
2017-02-22,53
2017-02-23,54
2017-02-24,64
2017-02-25,77
2017-02-26,87
2017-02-27,57
2017-02-28,70
2017-03-01,58
2017-03-02,53
2017-03-03,61
2017-03-04,74
2017-03-05,82
2017-03-06,58
2017-03-07,56
2017-03-08,49
2017-03-09,51
2017-03-10,55
2017-03-11,75
2017-03-12,78
2017-03-13,56
2017-03-14,59
2017-03-15,53
2017-03-16,51
2017-03-17,56
2017-03-18,72
2017-03-19,80
2017-03-20,56
2017-03-21,50
2017-03-22,53
2017-03-23,53
2017-03-24,58
2017-03-25,74
2017-03-26,73
2017-03-27,56
2017-03-28,52
2017-03-29,54
2017-03-30,51
2017-03-31,57
