Date,Amazon Australia,Amazon dvd,Amazon mp3,Amazon books,Amazon India,Amazon music,Amazon UK,Amazon video,Amazon error,Amazon kindle,Amazon order,Amazon recall,Amazon register,Amazon sucks,Amazon echo,Price
3/23/08,57,88,53,59,19,76,64,78,0,51,17,35,0,51,49,78.629997
3/24/08,74,74,41,66,50,82,62,43,0,0,37,0,35,0,52,79.360001
3/25/08,71,70,35,70,37,67,68,40,0,0,38,23,0,0,62,77.309998
3/26/08,57,53,42,64,44,58,63,58,22,0,32,0,30,0,62,75.919998
3/27/08,52,54,47,69,51,59,60,43,22,0,22,0,0,0,65,75.709999
3/28/08,52,58,49,75,61,73,58,46,0,0,47,0,33,0,61,73.18
3/29/08,75,74,59,58,43,80,59,56,30,0,22,0,0,0,52,72.790001
3/30/08,62,70,58,67,59,79,71,61,29,0,59,0,41,0,51,72.410004
3/31/08,57,56,44,77,80,61,57,46,22,65,21,0,30,65,62,74.529999
1/1/09,66,100,100,81,100,87,100,87,0,35,48,0,0,35,47,74.559998
1/2/09,94,79,77,93,48,83,90,85,0,0,89,0,25,0,52,54.360001
1/3/09,100,75,78,96,38,87,90,76,36,0,40,53,0,0,43,54.060001
1/4/09,100,68,82,100,95,95,95,88,0,29,70,0,53,29,41,57.360001
1/5/09,78,66,62,100,57,74,72,55,0,22,37,39,21,22,55,56.200001
1/6/09,96,60,64,85,57,68,68,83,27,45,73,0,0,45,54,57.16
1/7/09,68,52,76,95,50,72,68,60,27,22,88,0,20,22,54,55.509998
1/8/09,88,53,68,91,72,71,70,60,27,22,66,0,0,22,55,51.919998
1/9/09,58,49,45,80,64,74,69,74,0,69,56,0,21,69,55,51.450001
1/10/09,66,74,100,92,81,71,73,71,0,57,55,50,0,57,47,48.490002
1/11/09,85,77,87,73,64,95,88,83,34,28,77,100,26,28,42,51.439999
1/12/09,64,61,60,95,60,62,64,63,26,0,75,75,39,0,55,51.59
1/13/09,61,58,51,94,65,68,63,58,26,43,47,0,0,43,54,48.439999
1/14/09,83,49,63,83,60,65,69,54,0,21,87,0,20,21,57,50.540001
1/15/09,70,57,63,84,38,64,61,86,26,21,52,0,0,21,56,49.939999
1/16/09,74,52,69,74,52,60,57,42,0,23,80,40,0,23,56,50.630001
1/17/09,66,80,67,77,87,85,80,72,0,100,55,0,0,100,46,49.630001
1/18/09,67,69,79,88,49,96,86,100,34,55,45,0,0,55,43,48.439999
1/19/09,80,60,54,80,43,70,66,50,77,21,52,0,20,21,58,50.360001
1/20/09,66,43,55,81,75,64,61,76,0,21,29,74,19,21,56,50
1/21/09,58,48,56,84,64,52,65,60,0,0,80,37,0,0,57,58.82
1/22/09,83,54,41,91,54,54,57,44,52,0,57,0,0,0,56,61.150002
1/23/09,51,50,58,77,51,74,63,52,0,22,54,0,0,22,57,63.59
1/24/09,90,58,82,85,64,80,79,68,34,28,31,0,0,28,46,61.060001
1/25/09,79,72,83,87,70,100,90,91,66,0,61,48,0,0,43,63.18
1/26/09,73,45,53,76,81,65,73,48,0,0,69,0,0,0,57,66.550003
1/27/09,70,45,56,84,69,59,67,56,0,52,74,37,39,52,56,66.709999
1/28/09,65,50,58,81,32,52,62,74,0,21,40,0,0,21,56,63.310001
1/29/09,74,48,68,75,82,55,61,42,25,21,46,38,39,21,56,64.349998
1/30/09,62,45,61,73,34,61,62,53,0,0,80,0,20,0,55,63.959999
1/31/09,92,68,98,72,57,78,81,71,67,0,30,0,25,0,45,63.259998
2/1/09,78,67,81,69,48,80,93,53,33,0,59,0,0,0,45,61.669998
2/2/09,43,48,50,76,78,60,72,58,0,21,33,36,19,21,65,62.349998
2/3/09,54,45,54,87,57,57,60,50,0,20,50,0,19,20,61,61.950001
2/4/09,62,45,55,77,47,59,58,46,25,20,45,0,0,20,55,63.860001
2/5/09,62,53,50,76,37,60,73,39,26,0,45,36,19,0,61,61.709999
2/6/09,50,46,50,59,44,63,63,83,26,22,65,0,40,22,57,65.599998
2/7/09,88,58,73,74,56,83,66,78,0,0,30,0,25,0,46,63.709999
2/8/09,61,76,84,84,80,71,79,64,64,26,71,0,0,26,46,62.34
2/9/09,79,59,65,81,51,63,68,57,0,20,60,0,0,20,60,64.790001
2/10/09,67,49,61,82,82,60,69,51,24,0,27,0,18,0,57,61.990002
2/11/09,72,46,58,68,95,67,56,41,0,21,51,0,0,21,59,61.700001
2/12/09,51,54,52,68,75,57,61,53,26,21,28,0,19,21,56,64.809998
2/13/09,62,46,62,68,39,77,57,69,27,0,48,0,0,0,57,64.769997
2/14/09,91,63,87,80,57,64,70,63,0,42,38,0,26,42,46,61.689999
2/15/09,96,57,55,78,42,65,74,87,0,55,38,97,0,55,47,60.490002
2/16/09,60,53,63,78,69,67,65,62,0,42,80,0,38,42,58,65.709999
2/17/09,78,39,49,72,63,64,61,44,0,20,56,0,0,20,56,68.540001
2/18/09,57,45,50,74,68,62,60,64,0,21,50,0,19,21,59,69.580002
2/19/09,51,40,45,69,48,62,58,49,26,0,62,0,0,0,57,68.629997
2/20/09,64,47,48,60,51,61,64,54,54,22,85,0,20,22,58,66.980003
2/21/09,93,61,68,61,35,77,77,95,68,28,75,0,25,28,75,71.349998
2/22/09,75,66,73,67,83,76,78,53,0,27,52,0,25,27,100,71.25
2/23/09,74,49,45,79,53,60,57,53,51,21,79,0,19,21,76,70.099998
2/24/09,58,44,54,76,42,60,51,45,25,21,68,0,0,21,62,69.959999
2/25/09,83,41,48,79,47,48,62,62,0,21,73,0,38,21,60,75.580002
2/26/09,57,45,37,73,42,54,59,55,0,20,61,36,19,20,58,72.809998
2/27/09,53,48,63,61,61,50,56,59,0,0,29,0,100,0,55,72.400002
2/28/09,56,55,67,81,28,71,65,91,33,41,89,48,0,41,46,73.690002
3/1/09,57,60,71,70,40,66,70,67,32,26,100,0,0,26,45,70.519997
3/2/09,88,47,47,69,56,58,65,49,0,20,60,0,18,20,54,71.440002
3/3/09,72,48,51,66,46,48,59,61,49,0,55,0,0,0,57,73.440002
3/4/09,72,46,60,79,36,49,60,60,24,40,55,0,37,40,57,73.5
3/5/09,49,47,55,71,42,44,59,52,0,20,50,36,19,20,58,76.339996
3/6/09,55,38,62,63,27,64,48,59,52,43,41,38,0,43,55,78.169998
3/7/09,53,58,69,67,69,69,69,72,100,54,44,95,0,54,47,77.989998
3/8/09,64,73,66,74,40,76,83,67,32,27,57,47,24,27,49,75.510002
3/9/09,76,50,55,83,46,54,55,53,24,40,38,0,0,40,59,76.980003
3/10/09,67,44,51,77,56,53,56,64,0,0,81,0,0,0,56,79.769997
3/11/09,46,48,54,80,41,52,58,60,25,20,83,0,19,20,58,78.940002
3/12/09,59,47,47,63,31,47,52,71,0,0,33,0,37,0,58,77.220001
3/13/09,60,40,54,69,22,54,55,91,53,44,65,38,40,44,53,74.709999
3/14/09,41,57,73,63,41,72,65,70,33,0,37,0,25,0,49,77.25
3/15/09,86,59,63,65,41,85,69,68,0,53,58,0,24,53,47,78.050003
3/16/09,79,42,46,62,51,48,59,64,48,0,76,0,0,0,59,77.57
3/17/09,67,44,63,72,51,66,58,41,49,20,49,0,18,20,56,78.739998
3/18/09,59,38,52,72,47,55,52,38,25,0,94,0,19,0,56,79.199997
3/19/09,47,43,59,60,57,51,52,54,0,0,67,0,0,0,56,80.610001
3/20/09,33,46,59,61,78,56,55,72,27,22,36,0,20,22,54,84.459999
3/21/09,51,52,63,75,56,71,60,96,0,0,60,0,25,0,46,83.120003
3/22/09,61,45,74,71,40,78,70,57,0,0,50,0,0,0,49,82.400002
3/23/09,61,46,52,77,55,56,55,56,0,20,38,0,0,20,55,79.790001
3/24/09,55,33,48,81,65,55,59,50,24,0,65,35,54,0,55,80.519997
3/25/09,67,37,49,75,50,58,56,43,0,0,65,0,18,0,57,78.959999
3/26/09,47,52,48,72,52,55,58,70,0,20,39,0,37,20,58,79.769997
3/27/09,54,47,58,64,65,40,61,73,26,21,17,38,19,21,55,81.900002
3/28/09,55,51,90,58,34,68,68,68,0,26,65,0,24,26,45,81.989998
3/29/09,76,66,66,70,40,75,69,79,0,52,78,0,0,52,47,79.279999
3/30/09,77,43,57,65,50,69,60,63,24,39,32,68,0,39,58,77.949997
3/31/09,46,46,52,62,55,59,61,64,0,20,38,0,0,20,55,78.610001
1/1/10,81,100,100,54,100,86,96,98,65,0,63,42,34,0,53,77.93
1/2/10,94,100,97,56,63,90,100,92,28,0,58,55,29,0,54,74.190002
1/3/10,92,96,81,50,15,80,100,100,27,0,71,35,56,0,49,133.899994
1/4/10,87,80,68,61,76,63,92,72,41,33,63,26,85,33,63,134.690002
1/5/10,96,75,68,57,70,69,83,55,21,33,51,27,63,33,66,132.25
1/6/10,62,71,50,52,41,42,83,56,0,34,55,40,65,34,69,130
1/7/10,84,64,62,56,80,55,79,53,20,33,65,0,0,33,66,133.520004
1/8/10,88,66,77,48,53,74,81,72,42,68,32,27,22,68,62,130.309998
1/9/10,85,83,99,47,43,55,92,76,26,83,39,33,53,83,53,127.349998
1/10/10,70,91,92,57,57,74,97,66,100,81,49,33,0,81,51,129.110001
1/11/10,81,68,68,57,66,71,89,61,59,0,55,0,21,0,65,127.349998
1/12/10,73,71,50,57,70,68,81,61,0,31,59,63,20,31,63,127.139999
1/13/10,81,59,52,50,27,59,76,53,0,32,70,25,61,32,62,127.610001
1/14/10,77,64,66,54,56,61,78,48,40,33,61,0,42,33,65,125.779999
1/15/10,88,66,68,52,47,74,77,59,62,68,84,41,0,68,61,126.620003
1/16/10,79,77,81,51,50,98,89,62,0,0,54,67,27,0,52,121.43
1/17/10,83,82,78,55,42,70,94,59,25,41,66,32,26,41,53,120.309998
1/18/10,74,65,55,43,66,54,81,53,20,63,70,51,20,63,64,119.480003
1/19/10,83,53,65,46,60,61,78,52,19,0,54,49,0,0,63,122.75
1/20/10,82,54,52,55,69,62,75,60,19,0,45,62,60,0,64,126.029999
1/21/10,86,58,65,52,55,50,75,63,0,32,74,0,20,32,63,125.410004
1/22/10,76,58,73,67,75,76,72,56,62,0,74,40,64,0,58,118.870003
1/23/10,94,69,85,76,92,87,84,69,0,42,74,98,26,42,50,118.120003
1/24/10,75,78,82,90,34,79,82,78,25,100,79,0,0,100,52,119.099998
1/25/10,78,60,60,89,65,59,77,49,19,0,82,99,59,0,62,115.940002
1/26/10,63,60,62,89,65,62,75,50,19,31,78,25,0,31,61,117.389999
1/27/10,65,57,54,82,60,77,67,55,76,62,82,37,40,62,61,116.830002
1/28/10,58,52,59,87,33,56,70,51,19,0,65,100,20,0,61,118.029999
1/29/10,71,58,63,83,52,60,71,56,41,33,69,80,21,33,59,117.360001
1/30/10,89,76,74,84,63,89,81,70,75,40,55,65,0,40,50,120.089996
1/31/10,96,94,75,100,62,85,98,78,25,40,69,64,51,40,50,119.660004
2/1/10,73,63,55,83,64,77,74,53,19,62,40,49,40,62,62,117.529999
2/2/10,74,61,53,93,80,74,76,53,57,31,48,75,20,31,59,116.309998
2/3/10,68,63,63,82,75,55,77,50,76,62,48,74,100,62,61,118.080002
2/4/10,67,55,52,76,65,61,70,61,19,63,41,25,40,63,62,117.519997
2/5/10,78,56,64,72,69,69,70,51,41,33,49,53,21,33,59,118.010002
2/6/10,64,77,81,81,77,76,79,77,0,40,34,32,0,40,50,117.239998
2/7/10,79,78,87,79,49,82,96,63,25,40,76,32,25,40,50,119.720001
2/8/10,81,67,56,81,86,57,79,57,38,31,71,50,60,31,63,118.199997
2/9/10,94,60,55,81,59,62,73,51,57,62,77,37,0,62,60,118.400002
2/10/10,70,56,62,84,59,62,73,45,0,62,61,25,39,62,60,124.540001
2/11/10,72,57,53,68,72,51,71,56,20,32,68,51,21,32,58,125.529999
2/12/10,67,59,63,77,59,63,72,51,21,34,58,0,43,34,58,125.889999
2/13/10,86,64,70,61,58,65,77,68,26,0,54,0,27,0,50,128.529999
2/14/10,81,75,88,71,44,100,85,83,0,42,76,67,27,42,50,128.910004
2/15/10,67,63,57,80,40,69,86,67,0,50,77,27,21,50,62,130.110001
2/16/10,75,58,57,82,61,49,70,60,0,32,47,26,0,32,61,128.820007
2/17/10,78,63,52,71,39,64,69,61,39,0,79,38,20,0,58,130.509995
2/18/10,77,52,54,79,28,60,70,62,39,32,88,51,20,32,58,133.580002
2/19/10,56,54,54,76,92,65,64,56,41,67,43,0,22,67,56,131.820007
2/20/10,92,67,74,74,42,76,77,65,0,41,70,32,26,41,50,131.130005
2/21/10,100,76,66,77,89,72,89,67,48,39,57,94,25,39,51,131.789993
2/22/10,72,59,51,84,58,63,75,43,56,31,78,24,19,31,59,131.339996
2/23/10,72,52,51,77,63,59,70,47,19,0,50,25,19,0,61,132.759995
2/24/10,63,51,52,76,27,62,66,49,0,31,80,49,40,31,59,130.350006
2/25/10,73,47,53,81,59,59,69,55,19,31,48,37,20,31,62,130.470001
2/26/10,74,54,52,69,51,47,69,63,40,0,70,26,0,0,59,129.259995
2/27/10,82,66,69,72,62,65,84,69,74,40,37,0,26,40,49,128.039993
2/28/10,75,70,69,75,27,71,90,73,24,0,70,31,25,0,50,134.729996
3/1/10,95,60,60,77,69,48,74,57,19,92,66,49,20,92,61,135.059998
3/2/10,86,59,50,73,69,61,70,55,19,31,63,49,20,31,60,135.119995
