"","date","Amazon"
"477","2008-01-20",91
"478","2008-01-21",82
"479","2008-01-22",82
"480","2008-01-23",78
"481","2008-01-24",77
"482","2008-01-25",79
"483","2008-01-26",84
"484","2008-01-27",91
"485","2008-01-28",83
"486","2008-01-29",81
"487","2008-01-30",80
"488","2008-01-31",81
"489","2008-02-01",80
"490","2008-02-02",84
"491","2008-02-03",91
"492","2008-02-04",83
"493","2008-02-05",81
"494","2008-02-06",80
"495","2008-02-07",79
"496","2008-02-08",77
"497","2008-02-09",83
"498","2008-02-10",88
"499","2008-02-11",80
"500","2008-02-12",80
"501","2008-02-13",74
"502","2008-02-14",72
"503","2008-02-15",75
"504","2008-02-16",82
"505","2008-02-17",86
"506","2008-02-18",78
"507","2008-02-19",76
"508","2008-02-20",75
"509","2008-02-21",76
"510","2008-02-22",76
"511","2008-02-23",80
"512","2008-02-24",84
"513","2008-02-25",76
"514","2008-02-26",75
"515","2008-02-27",77
"516","2008-02-28",76
"517","2008-02-29",75
"518","2008-03-01",81
"519","2008-03-02",86
"520","2008-03-03",79
"521","2008-03-04",76
"522","2008-03-05",77
"523","2008-03-06",76
"524","2008-03-07",75
"525","2008-03-08",80
"526","2008-03-09",82
"527","2008-03-10",78
"528","2008-03-11",77
"529","2008-03-12",84
"530","2008-03-13",78
"531","2008-03-14",75
"532","2008-03-15",80
"533","2008-03-16",85
"534","2008-03-17",77
"535","2008-03-18",76
"536","2008-03-19",76
"537","2008-03-20",77
"538","2008-03-21",77
"539","2008-03-22",79
"540","2008-03-23",84
"541","2008-03-24",79
"542","2008-03-25",77
"543","2008-03-26",76
"544","2008-03-27",76
"545","2008-03-28",77
"546","2008-03-29",80
"547","2008-03-30",85
"548","2008-03-31",78
"549","2008-04-01",81
"550","2008-04-02",83
"551","2008-04-03",81
"552","2008-04-04",81
"553","2008-04-05",86
"554","2008-04-06",92
"555","2008-04-07",84
"556","2008-04-08",81
"557","2008-04-09",82
"558","2008-04-10",81
"559","2008-04-11",82
"560","2008-04-12",86
"561","2008-04-13",93
"562","2008-04-14",83
"563","2008-04-15",83
"564","2008-04-16",81
"565","2008-04-17",79
"566","2008-04-18",80
"567","2008-04-19",86
"568","2008-04-20",91
"569","2008-04-21",82
"570","2008-04-22",81
"571","2008-04-23",80
"572","2008-04-24",80
"573","2008-04-25",83
"574","2008-04-26",85
"575","2008-04-27",94
"576","2008-04-28",84
"577","2008-04-29",84
"578","2008-04-30",81
"579","2008-05-01",89
"580","2008-05-02",85
"581","2008-05-03",85
"582","2008-05-04",87
"583","2008-05-05",81
"584","2008-05-06",81
"585","2008-05-07",79
"586","2008-05-08",78
"587","2008-05-09",77
"588","2008-05-10",79
"589","2008-05-11",85
"590","2008-05-12",80
"591","2008-05-13",79
"592","2008-05-14",78
"593","2008-05-15",79
"594","2008-05-16",78
"595","2008-05-17",85
"596","2008-05-18",91
"597","2008-05-19",81
"598","2008-05-20",80
"599","2008-05-21",78
"600","2008-05-22",79
"601","2008-05-23",80
"602","2008-05-24",82
"603","2008-05-25",88
"604","2008-05-26",83
"605","2008-05-27",81
"606","2008-05-28",86
"607","2008-05-29",82
"608","2008-05-30",88
"609","2008-05-31",93
"610","2008-06-01",100
"611","2008-06-02",89
"612","2008-06-03",90
"613","2008-06-04",86
"614","2008-06-05",85
"615","2008-06-06",99
"616","2008-06-07",89
"617","2008-06-08",90
"618","2008-06-09",89
"619","2008-06-10",84
"620","2008-06-11",83
"621","2008-06-12",84
"622","2008-06-13",82
"623","2008-06-14",87
"624","2008-06-15",94
"625","2008-06-16",81
"626","2008-06-17",82
"627","2008-06-18",82
"628","2008-06-19",79
"629","2008-06-20",81
"630","2008-06-21",89
"631","2008-06-22",97
"632","2008-06-23",85
"633","2008-06-24",85
"634","2008-06-25",83
"635","2008-06-26",81
"636","2008-06-27",84
"637","2008-06-28",90
"638","2008-06-29",94
"639","2008-06-30",85
"640","2008-07-01",78
"641","2008-07-02",78
"642","2008-07-03",77
"643","2008-07-04",76
"644","2008-07-05",82
"645","2008-07-06",91
"646","2008-07-07",81
"647","2008-07-08",80
"648","2008-07-09",81
"649","2008-07-10",78
"650","2008-07-11",78
"651","2008-07-12",84
"652","2008-07-13",91
"653","2008-07-14",80
"654","2008-07-15",80
"655","2008-07-16",78
"656","2008-07-17",79
"657","2008-07-18",84
"658","2008-07-19",85
"659","2008-07-20",93
"660","2008-07-21",80
"661","2008-07-22",80
"662","2008-07-23",79
"663","2008-07-24",79
"664","2008-07-25",78
"665","2008-07-26",83
"666","2008-07-27",88
"667","2008-07-28",79
"668","2008-07-29",80
"669","2008-07-30",79
"670","2008-07-31",80
"671","2008-08-01",81
"672","2008-08-02",87
"673","2008-08-03",96
"674","2008-08-04",87
"675","2008-08-05",88
"676","2008-08-06",84
"677","2008-08-07",82
"678","2008-08-08",82
"679","2008-08-09",88
"680","2008-08-10",93
"681","2008-08-11",84
"682","2008-08-12",87
"683","2008-08-13",83
"684","2008-08-14",81
"685","2008-08-15",82
"686","2008-08-16",87
"687","2008-08-17",90
"688","2008-08-18",87
"689","2008-08-19",88
"690","2008-08-20",83
"691","2008-08-21",82
"692","2008-08-22",83
"693","2008-08-23",85
"694","2008-08-24",92
"695","2008-08-25",88
"696","2008-08-26",88
"697","2008-08-27",90
"698","2008-08-28",87
"699","2008-08-29",85
"700","2008-08-30",87
"701","2008-08-31",96
"702","2008-09-01",89
"703","2008-09-02",87
"704","2008-09-03",90
"705","2008-09-04",86
"706","2008-09-05",85
"707","2008-09-06",93
"708","2008-09-07",100
"709","2008-09-08",89
"710","2008-09-09",87
"711","2008-09-10",86
"712","2008-09-11",83
"713","2008-09-12",84
"714","2008-09-13",89
"715","2008-09-14",95
"716","2008-09-15",88
"717","2008-09-16",86
"718","2008-09-17",83
"719","2008-09-18",82
"720","2008-09-19",83
"721","2008-09-20",88
"722","2008-09-21",94
"723","2008-09-22",90
"724","2008-09-23",86
"725","2008-09-24",86
"726","2008-09-25",85
"727","2008-09-26",83
"728","2008-09-27",87
"729","2008-09-28",93
"730","2008-09-29",88
"731","2008-09-30",90
"732","2008-10-01",55
"733","2008-10-02",52
"734","2008-10-03",52
"735","2008-10-04",57
"736","2008-10-05",60
"737","2008-10-06",54
"738","2008-10-07",53
"739","2008-10-08",51
"740","2008-10-09",52
"741","2008-10-10",50
"742","2008-10-11",54
"743","2008-10-12",57
"744","2008-10-13",55
"745","2008-10-14",54
"746","2008-10-15",54
"747","2008-10-16",52
"748","2008-10-17",53
"749","2008-10-18",56
"750","2008-10-19",59
"751","2008-10-20",55
"752","2008-10-21",53
"753","2008-10-22",53
"754","2008-10-23",54
"755","2008-10-24",55
"756","2008-10-25",59
"757","2008-10-26",62
"758","2008-10-27",57
"759","2008-10-28",56
"760","2008-10-29",54
"761","2008-10-30",53
"762","2008-10-31",51
"763","2008-11-01",58
"764","2008-11-02",64
"765","2008-11-03",58
"766","2008-11-04",56
"767","2008-11-05",53
"768","2008-11-06",56
"769","2008-11-07",56
"770","2008-11-08",62
"771","2008-11-09",70
"772","2008-11-10",63
"773","2008-11-11",62
"774","2008-11-12",61
"775","2008-11-13",61
"776","2008-11-14",62
"777","2008-11-15",67
"778","2008-11-16",74
"779","2008-11-17",67
"780","2008-11-18",65
"781","2008-11-19",65
"782","2008-11-20",65
"783","2008-11-21",66
"784","2008-11-22",73
"785","2008-11-23",80
"786","2008-11-24",74
"787","2008-11-25",72
"788","2008-11-26",72
"789","2008-11-27",73
"790","2008-11-28",84
"791","2008-11-29",87
"792","2008-11-30",93
"793","2008-12-01",91
"794","2008-12-02",85
