date,Amazon mp3
2017-03-17,67
2017-03-18,97
2017-03-19,87
2017-03-20,71
2017-03-21,75
2017-03-22,64
2017-03-23,72
2017-03-24,71
2017-03-25,77
2017-03-26,78
2017-03-27,66
2017-03-28,58
2017-03-29,74
2017-03-30,61
2017-03-31,76
