date,Amazon dvd
2017-01-20,62
2017-01-21,71
2017-01-22,80
2017-01-23,55
2017-01-24,66
2017-01-25,65
2017-01-26,54
2017-01-27,56
2017-01-28,74
2017-01-29,82
2017-01-30,68
2017-01-31,58
2017-02-01,59
2017-02-02,58
2017-02-03,55
2017-02-04,80
2017-02-05,80
2017-02-06,66
2017-02-07,62
2017-02-08,60
2017-02-09,64
2017-02-10,60
2017-02-11,75
2017-02-12,84
2017-02-13,60
2017-02-14,60
2017-02-15,64
2017-02-16,52
2017-02-17,61
2017-02-18,70
2017-02-19,72
2017-02-20,61
2017-02-21,58
2017-02-22,65
2017-02-23,54
2017-02-24,70
2017-02-25,70
2017-02-26,78
2017-02-27,66
2017-02-28,54
2017-03-01,56
2017-03-02,53
2017-03-03,58
2017-03-04,76
2017-03-05,84
2017-03-06,60
2017-03-07,64
2017-03-08,53
2017-03-09,59
2017-03-10,59
2017-03-11,71
2017-03-12,75
2017-03-13,61
2017-03-14,54
2017-03-15,55
2017-03-16,51
2017-03-17,61
2017-03-18,70
2017-03-19,73
2017-03-20,62
2017-03-21,60
2017-03-22,58
2017-03-23,47
2017-03-24,60
2017-03-25,66
2017-03-26,70
2017-03-27,50
2017-03-28,51
2017-03-29,57
2017-03-30,55
2017-03-31,57
