date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
8/7/15,51,7,56,66,12,4,85,754.640015
8/8/15,54,14,63,67,67,16,77,760.77002
8/9/15,58,11,58,79,38,3,81,765.97998
8/10/15,67,10,55,59,29,10,91,766.559998
8/11/15,64,6,51,66,29,7,89,768.309998
8/12/15,58,10,55,67,29,10,90,768.559998
8/13/15,54,6,63,69,20,3,97,771.23999
8/14/15,53,11,63,57,0,12,93,772.559998
8/15/15,54,26,73,73,45,12,91,768.48999
8/16/15,60,16,59,57,48,10,90,764.039978
8/17/15,58,13,56,66,29,3,94,764.630005
8/18/15,57,13,55,78,0,20,94,764.460022
8/19/15,55,11,57,80,0,7,93,757.309998
8/20/15,54,10,59,80,62,4,99,759.47998
8/21/15,52,17,60,81,46,12,96,762.450012
8/22/15,53,7,60,70,11,36,88,757.25
8/23/15,58,11,59,64,19,10,90,759.219971
8/24/15,56,11,55,67,47,17,96,769
8/25/15,57,17,59,74,48,3,95,771.289978
8/26/15,55,53,31,47,26,42,93,767.580017
8/27/15,55,25,34,51,19,29,91,769.159973
8/28/15,53,45,35,55,25,47,88,770.619995
8/29/15,55,51,33,54,31,49,80,772.440002
8/30/15,58,50,32,54,19,40,80,788.869995
8/31/15,55,24,31,56,22,33,88,784.47998
9/1/15,56,30,28,48,13,41,93,784.059998
9/2/15,55,37,29,57,10,17,87,760.140015
9/3/15,53,71,34,44,30,48,88,771.48999
9/4/15,53,60,37,49,11,38,85,761.01001
9/5/15,54,77,35,67,19,50,75,761.090027
9/6/15,57,38,30,67,22,32,78,769.690002
9/7/15,56,21,32,66,13,49,85,778.52002
9/8/15,53,45,32,65,19,49,84,775.099976
9/9/15,52,34,29,75,7,33,84,780.219971
9/10/15,51,60,34,64,15,0,81,789.73999
9/11/15,51,31,39,53,29,65,81,804.700012
9/12/15,53,53,33,58,31,24,71,805.75
9/13/15,57,23,32,53,9,24,72,799.159973
9/14/15,53,61,29,56,31,24,87,816.109985
9/15/15,51,30,31,58,47,65,82,828.719971
9/16/15,52,55,30,62,26,34,83,829.049988
9/17/15,51,31,35,65,18,28,81,837.309998
9/18/15,50,17,36,52,25,37,81,836.73999
9/19/15,53,41,31,74,25,32,74,834.030029
9/20/15,58,50,32,66,19,24,72,844.359985
9/21/15,53,32,32,74,15,16,86,841.659973
9/22/15,53,24,33,68,28,73,86,839.429993
9/23/15,53,28,31,62,20,17,88,841.710022
9/24/15,54,32,33,52,8,49,87,831
