date,Microsoft,Glasses,Phone,Office 10,Band,Hologram,Surface,Office,Silverlight,Outlook,Price
1/22/09,81,0,53,24,80,0,42,93,51,93,19.040001
1/23/09,77,42,57,34,42,0,35,88,44,86,19.66
1/24/09,69,0,51,0,53,0,35,82,67,63,19.440001
1/25/09,69,0,35,0,42,0,39,86,51,58,18.799999
1/26/09,73,0,42,24,16,0,40,85,41,81,19.209999
1/27/09,77,0,47,0,32,0,49,88,48,88,19.26
1/28/09,77,0,51,36,32,0,41,90,51,93,19.09
1/29/09,75,40,55,0,41,0,42,91,56,89,18.09
1/30/09,70,42,57,26,43,100,58,84,52,84,18.120001
1/31/09,69,0,60,32,42,0,40,91,45,70,17.91
2/1/09,67,100,35,0,20,60,36,98,49,62,18
2/2/09,72,76,42,24,31,0,43,97,42,87,17.209999
2/3/09,75,38,55,0,23,0,39,97,58,94,17.17
2/4/09,75,95,59,0,31,0,39,100,41,96,16.959999
2/5/09,72,0,43,47,24,0,33,93,49,94,16.42
2/6/09,71,0,80,25,33,0,45,86,52,90,16.15
2/7/09,64,51,74,0,31,0,24,84,57,60,15.79
2/8/09,66,0,66,46,50,0,23,92,63,56,15.88
2/9/09,72,37,75,0,23,0,26,88,44,82,16.120001
2/10/09,74,0,63,0,30,0,40,89,54,86,15.27
2/11/09,74,0,47,24,39,0,38,89,59,93,15.28
2/12/09,73,39,59,48,48,0,48,89,57,87,15.15
2/13/09,71,0,72,0,25,0,39,80,54,81,16.48
2/14/09,63,0,58,32,42,0,28,78,56,63,17.110001
2/15/09,65,0,44,32,21,0,48,85,64,57,17.01
2/16/09,71,38,97,24,32,0,38,89,45,80,16.65
2/17/09,74,38,100,23,31,45,35,90,55,91,16.25
2/18/09,73,0,73,24,16,0,28,91,66,91,16.9
2/19/09,72,39,83,24,24,0,38,90,53,86,16.959999
2/20/09,68,41,86,25,67,0,32,84,55,79,17.139999
2/21/09,66,0,71,32,52,0,24,80,53,67,17.059999
2/22/09,64,0,44,0,21,0,21,87,56,58,18.33
2/23/09,71,0,66,47,31,45,32,88,45,79,17.93
2/24/09,73,0,61,96,0,0,44,90,48,96,17.879999
2/25/09,73,0,71,47,47,0,29,90,66,87,18.83
2/26/09,73,0,62,47,31,0,39,92,100,86,18.129999
2/27/09,69,0,53,37,49,0,46,87,68,85,17.48
2/28/09,64,50,50,31,41,0,17,91,77,64,18.370001
3/1/09,65,0,41,0,20,0,20,96,73,58,19.309999
3/2/09,71,37,73,0,30,0,82,96,48,88,19.290001
3/3/09,75,37,59,23,30,0,100,98,55,88,18.75
3/4/09,73,0,59,23,15,0,69,93,63,87,18.76
3/5/09,72,38,42,24,46,45,53,95,59,92,18.76
3/6/09,68,0,61,50,25,0,44,88,46,77,19.190001
3/7/09,63,0,57,63,21,60,47,87,51,57,19.67
3/8/09,64,98,58,30,20,0,33,88,56,52,19.59
3/9/09,71,37,56,0,30,44,43,89,47,87,19.35
3/10/09,74,0,63,0,15,0,41,94,45,89,18.83
3/11/09,71,37,66,0,31,0,49,89,44,86,19.76
3/12/09,72,0,61,0,47,0,47,86,51,87,19.200001
3/13/09,70,0,44,25,33,0,65,84,52,74,18.610001
3/14/09,63,50,45,0,21,60,36,86,64,58,18.969999
3/15/09,64,49,46,0,20,0,26,90,79,59,18.780001
3/16/09,69,37,47,35,46,44,64,89,46,82,18.92
3/17/09,71,0,76,46,54,0,54,87,47,81,20.91
3/18/09,70,0,58,47,62,45,55,92,53,81,20.4
3/19/09,76,0,50,47,39,0,44,89,91,81,19.93
3/20/09,73,81,72,25,50,0,57,81,74,81,20.25
3/21/09,66,0,46,32,42,0,30,80,84,67,20.26
3/22/09,66,49,46,31,100,0,34,87,73,57,20.24
3/23/09,71,37,53,34,22,86,42,91,60,80,20.190001
3/24/09,73,0,66,45,38,0,46,90,62,85,19.790001
3/25/09,72,0,70,61,53,0,47,93,57,89,19.790001
3/26/09,73,37,42,35,46,45,57,89,52,82,19.32
3/27/09,70,80,48,25,24,48,51,80,49,81,19.42
3/28/09,63,0,42,30,30,0,25,82,67,66,30.950001
3/29/09,67,0,68,30,79,0,27,89,52,60,30.959999
3/30/09,75,0,60,30,22,0,45,87,56,82,30.77
3/31/09,100,0,58,34,15,0,43,95,59,86,30.450001
1/1/10,78,81,36,65,37,0,15,68,40,57,30.66
1/2/10,82,0,24,63,94,0,16,74,37,59,30.27
1/3/10,84,66,29,69,91,0,11,79,33,76,30.07
1/4/10,91,51,45,64,46,0,14,82,30,98,30.35
1/5/10,95,51,47,68,38,82,29,84,33,98,30.959999
1/6/10,97,0,49,74,59,0,35,87,34,89,30.860001
1/7/10,100,50,44,70,23,0,35,83,32,97,31.1
1/8/10,93,52,34,67,32,85,38,76,23,87,30.59
1/9/10,85,63,38,77,29,0,27,80,38,71,30.01
1/10/10,89,0,31,81,57,0,24,91,34,65,28.959999
1/11/10,94,49,38,73,52,80,21,90,27,87,29.32
1/12/10,96,48,45,74,97,0,44,90,26,100,29.5
1/13/10,96,48,38,81,66,78,26,92,33,89,29.67
1/14/10,97,100,34,72,38,0,25,90,33,92,29.16
1/15/10,91,51,33,69,47,84,38,80,31,87,28.18
1/16/10,87,0,40,73,72,0,17,84,29,65,28.41
1/17/10,88,62,34,81,38,100,29,86,33,58,28.459999
1/18/10,94,0,29,76,44,79,17,87,21,79,28.629999
1/19/10,96,48,40,65,65,0,22,88,39,93,27.84
1/20/10,99,0,39,77,80,0,25,88,100,85,28.02
1/21/10,100,48,38,81,96,78,28,90,52,96,27.719999
1/22/10,97,51,34,70,85,0,30,86,46,86,28.01
1/23/10,89,63,38,81,99,0,27,88,50,76,27.99
1/24/10,88,0,37,70,83,99,30,88,45,63,28.120001
1/25/10,92,0,37,71,100,0,23,88,34,89,27.93
1/26/10,97,95,41,68,94,0,36,86,37,90,28.35
1/27/10,97,71,50,69,50,0,38,85,38,94,28.59
1/28/10,99,48,51,68,59,0,100,85,39,93,28.969999
1/29/10,92,0,36,75,39,0,55,77,38,84,28.77
1/30/10,88,62,42,73,56,0,32,82,36,73,28.73
1/31/10,92,0,35,79,65,0,35,100,38,65,28.33
2/1/10,96,47,36,79,86,0,27,94,30,95,28.629999
2/2/10,100,0,40,75,65,77,29,93,36,95,28.6
2/3/10,97,0,37,83,58,0,30,93,33,86,28.67
2/4/10,96,0,35,89,33,0,27,87,32,90,29.02
2/5/10,92,50,35,73,57,0,38,85,31,78,28.459999
2/6/10,85,62,45,92,66,0,31,83,40,66,28.459999
2/7/10,88,0,27,91,46,0,21,90,33,59,28.629999
2/8/10,93,0,33,79,65,0,30,85,30,77,28.59
2/9/10,97,47,31,78,50,77,40,90,34,88,28.629999
2/10/10,96,0,35,77,97,0,42,88,29,90,28.799999
2/11/10,96,0,39,70,22,79,49,84,37,88,28.969999
2/12/10,91,51,39,76,0,0,57,81,44,82,29.18
2/13/10,82,63,38,89,29,0,45,77,62,57,29.27
2/14/10,83,0,32,84,68,0,30,82,71,58,29.290001
2/15/10,92,51,89,85,54,0,28,84,55,81,29.370001
2/16/10,98,98,100,80,56,0,30,84,60,85,29.629999
2/17/10,95,49,73,82,44,0,39,87,58,83,29.610001
2/18/10,98,0,49,79,74,0,48,84,50,89,29.59
2/19/10,92,51,38,83,77,0,26,79,54,84,29.6
2/20/10,87,62,46,92,28,0,26,82,43,65,29.879999
2/21/10,90,60,47,85,45,0,28,86,62,65,29.65
2/22/10,95,93,49,69,64,75,19,86,44,89,30.01
2/23/10,98,93,48,75,92,0,32,86,43,85,29.66
2/24/10,97,0,45,83,57,0,28,91,53,85,29.59
2/25/10,95,0,40,73,36,0,33,82,46,82,29.77
2/26/10,89,74,34,71,45,0,23,75,48,83,29.290001
2/27/10,84,61,34,88,55,0,17,79,51,61,29.16
2/28/10,87,0,42,93,40,0,18,92,52,62,29.27
3/1/10,95,47,43,89,43,0,22,90,36,88,29.32
3/2/10,97,47,47,84,71,0,33,89,33,92,29.35
3/3/10,97,47,45,84,50,0,27,89,35,84,29.92
3/4/10,95,48,39,80,66,0,32,86,34,82,30.34
3/5/10,91,51,59,84,38,0,35,79,32,89,30.32
3/6/10,87,0,50,100,65,0,28,81,46,60,30.450001
3/7/10,89,61,49,93,27,0,16,90,41,66,30.82
3/8/10,92,70,42,84,64,0,25,84,37,82,30.870001
3/9/10,97,47,46,92,57,0,27,87,32,94,30.67
3/10/10,98,0,46,83,50,0,25,91,35,89,31.040001
3/11/10,96,0,34,90,43,0,25,85,33,90,31.360001
3/12/10,91,99,41,89,75,0,20,80,37,83,31.33
3/13/10,84,0,38,93,64,0,24,80,43,63,31.389999
3/14/10,84,0,32,95,90,0,29,84,37,59,30.959999
3/15/10,92,0,45,86,84,0,34,85,37,86,31.110001
3/16/10,95,94,45,88,65,0,30,84,34,88,30.85
3/17/10,95,0,45,83,65,0,23,82,38,89,30.91
3/18/10,93,97,30,81,66,0,29,81,37,90,31
3/19/10,89,50,33,87,39,0,18,78,48,84,30.540001
3/20/10,80,61,43,86,56,0,28,76,38,54,30.860001
3/21/10,83,0,47,91,68,0,37,84,49,56,30.129999
3/22/10,90,0,46,88,35,76,35,81,33,84,29.85
3/23/10,93,62,47,85,43,76,26,82,33,81,28.98
3/24/10,93,47,41,82,22,77,26,84,34,91,28.209999
3/25/10,92,0,41,82,44,0,34,78,36,87,28.940001
3/26/10,86,0,49,71,46,0,20,73,37,86,27.98
3/27/10,79,0,42,89,76,0,19,76,33,58,28.09
3/28/10,82,0,41,93,66,0,26,80,44,50,28
3/29/10,90,47,48,79,78,0,21,79,30,95,28.82
3/30/10,96,47,50,79,65,0,17,79,31,86,28.6
3/31/10,96,0,42,81,89,0,21,81,38,85,28.219999
1/1/11,71,0,64,77,38,0,14,68,83,52,28.110001
1/2/11,81,100,69,90,33,0,11,83,100,61,28.549999
1/3/11,91,0,82,94,37,0,16,92,75,93,28.190001
1/4/11,96,0,75,100,62,34,15,97,74,95,28.299999
1/5/11,98,0,62,96,57,0,16,95,85,100,28.66
1/6/11,98,40,77,92,26,0,100,94,90,88,28.469999
1/7/11,93,0,56,88,42,35,76,88,82,96,28.35
1/8/11,84,95,68,91,47,0,48,88,80,62,28.02
1/9/11,85,46,68,97,49,41,40,90,84,62,28.379999
1/10/11,95,38,62,90,15,0,38,94,87,92,28.450001
1/11/11,96,74,60,93,25,33,37,96,70,95,28.780001
1/12/11,97,0,68,94,34,33,23,96,67,96,28.870001
1/13/11,97,38,72,89,30,100,21,96,74,91,27.75
1/14/11,91,39,55,85,46,0,27,87,77,78,27.73
1/15/11,83,46,70,91,37,0,22,87,71,57,27.99
1/16/11,85,45,69,97,30,40,23,92,78,60,27.940001
1/17/11,93,36,62,89,54,0,26,90,71,86,27.65
1/18/11,98,0,74,93,34,32,23,100,71,89,27.77
1/19/11,98,74,92,95,44,33,21,95,68,89,28.200001
1/20/11,98,37,80,94,15,33,31,95,66,87,28.280001
1/21/11,92,39,73,87,36,0,23,86,56,87,27.969999
1/22/11,84,0,61,90,24,0,16,86,82,61,27.5
1/23/11,85,0,70,98,48,0,21,91,79,54,27.25
1/24/11,94,0,66,92,33,32,20,92,63,88,27.23
1/25/11,96,36,55,96,38,0,19,93,75,84,26.959999
1/26/11,98,0,57,91,53,0,19,91,67,84,27.02
1/27/11,100,37,67,94,20,33,37,90,70,87,27.209999
1/28/11,93,58,61,82,72,35,23,84,75,85,27.059999
1/29/11,88,44,62,99,47,0,13,87,76,59,26.59
1/30/11,89,87,66,91,34,0,19,91,88,53,26.59
1/31/11,96,68,61,92,23,0,18,92,69,86,26.77
2/1/11,100,70,68,92,74,0,15,92,71,87,26.549999
2/2/11,98,0,57,92,37,0,17,91,70,83,26.58
2/3/11,95,53,68,87,28,0,20,88,69,85,26.16
2/4/11,91,37,52,85,22,33,16,82,65,82,26.08
2/5/11,85,0,65,89,47,0,17,84,77,56,26.200001
2/6/11,84,0,45,94,29,0,16,87,75,54,25.950001
2/7/11,92,35,76,93,33,31,14,86,61,84,25.719999
2/8/11,98,36,62,90,38,0,19,91,60,91,25.91
2/9/11,96,36,63,92,53,0,18,91,61,83,25.889999
2/10/11,98,37,72,91,49,33,30,89,68,88,25.41
2/11/11,95,38,100,79,53,34,15,80,62,76,25.68
2/12/11,84,0,78,86,80,0,14,81,66,52,25.690001
2/13/11,85,44,82,89,44,0,11,87,84,59,25.389999
2/14/11,91,36,70,83,24,0,16,83,69,76,24.790001
2/15/11,93,58,80,90,48,31,18,87,100,89,24.780001
2/16/11,96,35,70,87,33,0,20,90,75,83,24.799999
2/17/11,94,37,70,85,48,32,16,88,78,82,25.33
2/18/11,88,38,77,83,35,34,22,81,74,77,25.299999
2/19/11,80,0,50,90,30,0,10,78,80,54,25.540001
2/20/11,79,0,60,92,23,0,13,86,86,51,25.809999
2/21/11,89,35,61,89,28,0,17,87,77,72,25.620001
2/22/11,95,35,64,96,33,0,22,89,68,83,25.41
2/23/11,96,36,70,92,38,0,23,89,79,81,25.49
2/24/11,94,36,72,93,29,32,29,87,72,82,25.610001
2/25/11,91,0,66,88,50,0,17,83,66,83,25.389999
2/26/11,81,44,73,94,61,0,15,81,74,53,25.48
2/27/11,83,65,66,93,34,0,16,87,79,51,25.549999
2/28/11,91,0,51,90,37,0,23,87,69,78,25.780001
3/1/11,95,0,64,91,33,0,23,92,69,83,26.15
3/2/11,96,36,79,95,100,32,12,95,87,88,26.200001
3/3/11,94,36,68,88,58,0,21,90,67,87,26.07
3/4/11,89,38,55,91,30,0,18,82,64,84,25.98
3/5/11,81,45,63,86,48,0,11,82,67,55,25.639999
3/6/11,82,45,64,95,27,40,16,88,83,56,25.629999
3/7/11,90,0,45,87,72,0,15,89,72,82,25.42
3/8/11,93,37,48,92,39,0,20,85,76,82,25.370001
3/9/11,94,36,60,93,57,0,20,91,71,83,25.08
3/10/11,95,35,61,93,28,0,11,89,69,82,25.15
3/11/11,84,0,68,78,24,0,15,78,63,69,25.76
3/12/11,73,45,55,85,42,0,15,78,68,49,25.52
3/13/11,76,44,36,91,35,0,9,82,76,48,25.610001
3/14/11,87,0,60,86,34,0,19,82,71,82,26.190001
3/15/11,95,36,50,81,43,0,17,87,61,85,26.379999
3/16/11,93,35,65,87,51,31,14,87,66,80,26.709999
3/17/11,92,0,46,88,38,0,17,84,82,79,25.92
3/18/11,87,0,64,81,25,0,17,77,77,75,25.66
3/19/11,77,0,46,80,35,0,16,78,81,48,25.809999
3/20/11,80,0,55,97,29,0,10,82,94,48,26.059999
3/21/11,89,71,52,94,56,0,15,85,68,80,25.790001
3/22/11,93,0,55,88,28,0,12,87,63,81,25.870001
3/23/11,92,0,51,89,38,0,13,89,73,79,25.83
3/24/11,91,36,50,86,24,0,16,87,68,81,25.67
3/25/11,85,38,49,78,30,33,15,79,77,74,26.77
3/26/11,78,67,46,91,18,0,10,77,82,53,27.4
3/27/11,81,43,67,93,17,0,12,83,78,52,27.68
3/28/11,90,35,66,89,42,0,16,86,75,78,28.110001
3/29/11,93,0,64,89,21,0,14,90,62,82,27.74
3/30/11,93,0,66,93,28,0,15,87,60,87,27.84
3/31/11,91,0,48,88,38,0,22,84,63,82,27.719999
1/1/12,65,96,55,70,25,0,45,68,59,41,28
1/2/12,79,37,69,82,67,0,27,82,82,66,28.25
