date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
1/29/09,85,40,0,63,0,0,71,68,48,82,55,38.299999
1/30/09,93,73,0,21,35,0,67,61,45,34,61,37.610001
1/31/09,86,0,0,50,35,0,84,98,68,57,78,37.119999
2/1/09,93,37,52,22,0,0,86,81,67,48,80,35.610001
2/2/09,83,0,0,28,0,100,87,50,48,78,60,35.490002
2/3/09,83,47,66,91,0,0,87,54,45,57,57,35.32
2/4/09,81,33,0,19,0,0,89,55,45,47,59,37.099998
2/5/09,88,32,0,25,0,0,73,50,53,37,60,36.560001
2/6/09,93,50,46,32,31,0,70,50,46,44,63,36.290001
2/7/09,87,34,47,26,0,34,76,73,58,56,83,36.130001
2/8/09,87,54,100,28,0,0,93,84,76,80,71,37.950001
2/9/09,86,49,68,19,0,0,84,65,59,51,63,38.23
2/10/09,85,0,68,19,46,0,86,61,49,82,60,39.360001
2/11/09,85,32,0,13,0,33,84,58,46,95,67,38.630001
2/12/09,93,33,0,13,31,33,72,52,54,75,57,39.509998
2/13/09,98,0,91,38,0,0,73,62,46,39,77,39.450001
2/14/09,90,0,0,47,100,35,84,87,63,57,64,39.049999
2/15/09,85,36,0,21,0,0,86,55,57,42,65,40.299999
2/16/09,83,0,0,38,0,0,86,63,53,69,67,40.189999
2/17/09,86,0,0,18,0,0,86,49,39,63,64,39.900002
2/18/09,84,33,0,19,0,0,86,50,45,68,62,38.310001
2/19/09,87,0,0,13,0,0,73,45,40,48,62,38.139999
2/20/09,92,0,46,32,0,0,68,48,47,51,61,38.240002
2/21/09,84,68,0,33,0,0,86,68,61,35,77,39.18
2/22/09,84,37,0,28,0,0,93,73,66,83,76,38.740002
2/23/09,82,49,0,76,0,100,89,45,49,53,60,38.509998
2/24/09,81,48,0,28,0,0,90,54,44,42,60,38.009998
2/25/09,81,0,0,21,0,0,85,48,41,47,48,38.07
2/26/09,89,0,0,31,31,0,74,37,45,42,54,38.57
2/27/09,92,49,0,25,31,0,68,63,48,61,50,40.009998
2/28/09,85,33,0,39,0,34,75,67,55,28,71,42.669998
3/1/09,88,0,0,28,34,36,84,71,60,40,66,42.209999
3/2/09,88,49,0,37,0,49,97,47,47,56,58,42.57
3/3/09,85,0,0,55,0,0,85,51,48,46,48,42.959999
3/4/09,82,0,0,19,31,32,83,60,46,36,49,43.27
3/5/09,91,48,0,37,0,32,69,55,47,42,44,43.290001
3/6/09,98,100,0,13,32,0,71,62,38,27,64,41.380001
3/7/09,89,0,0,13,0,35,89,69,58,69,69,41.830002
3/8/09,86,36,51,42,0,0,88,66,73,40,76,40.939999
3/9/09,85,0,0,48,0,50,91,55,50,46,54,39.93
3/10/09,84,48,0,37,91,0,84,51,44,56,53,39.43
3/11/09,85,0,0,100,0,33,88,54,48,41,52,40.84
3/12/09,91,66,92,38,0,0,71,47,47,31,47,40.860001
3/13/09,97,66,0,32,0,33,69,54,40,22,54,40.470001
3/14/09,91,0,0,26,32,0,97,73,57,41,72,41.009998
3/15/09,89,73,0,28,0,0,92,63,59,41,85,40.959999
3/16/09,86,0,0,29,0,0,89,46,42,51,48,41.360001
3/17/09,87,0,70,68,48,0,88,63,44,51,66,41.150002
3/18/09,88,33,47,26,0,34,87,52,38,47,55,40
3/19/09,93,34,0,32,0,0,73,59,43,57,51,40.150002
3/20/09,98,34,0,20,0,0,72,59,46,78,56,40.220001
3/21/09,88,0,0,40,0,0,86,63,52,56,71,39.98
3/22/09,86,0,0,27,0,0,88,74,45,40,78,39.099998
